[0.000000] (-) TimerEvent: {}
[0.000142] (-) JobUnselected: {'identifier': 'br2_gazebo_worlds'}
[0.000177] (-) JobUnselected: {'identifier': 'launch_pal'}
[0.000197] (-) JobUnselected: {'identifier': 'omni_base_bringup'}
[0.000211] (-) JobUnselected: {'identifier': 'omni_base_controller_configuration'}
[0.000224] (-) JobUnselected: {'identifier': 'omni_base_description'}
[0.000236] (-) JobUnselected: {'identifier': 'omni_base_robot'}
[0.000248] (-) JobUnselected: {'identifier': 'pal_gripper'}
[0.000273] (-) JobUnselected: {'identifier': 'pal_gripper_controller_configuration'}
[0.000287] (-) JobUnselected: {'identifier': 'pal_gripper_description'}
[0.000298] (-) JobUnselected: {'identifier': 'pal_gripper_simulation'}
[0.000315] (-) JobUnselected: {'identifier': 'pal_hey5'}
[0.000327] (-) JobUnselected: {'identifier': 'pal_hey5_controller_configuration'}
[0.000339] (-) JobUnselected: {'identifier': 'pal_hey5_description'}
[0.000349] (-) JobUnselected: {'identifier': 'pal_maps'}
[0.000360] (-) JobUnselected: {'identifier': 'pal_robotiq_controller_configuration'}
[0.000371] (-) JobUnselected: {'identifier': 'pal_robotiq_description'}
[0.000382] (-) JobUnselected: {'identifier': 'pal_robotiq_gripper'}
[0.000393] (-) JobUnselected: {'identifier': 'pal_urdf_utils'}
[0.000404] (-) JobUnselected: {'identifier': 'play_motion2'}
[0.000419] (-) JobUnselected: {'identifier': 'play_motion2_msgs'}
[0.000431] (-) JobUnselected: {'identifier': 'pmb2_2dnav'}
[0.000441] (-) JobUnselected: {'identifier': 'pmb2_bringup'}
[0.000452] (-) JobUnselected: {'identifier': 'pmb2_controller_configuration'}
[0.000463] (-) JobUnselected: {'identifier': 'pmb2_description'}
[0.000473] (-) JobUnselected: {'identifier': 'pmb2_laser_sensors'}
[0.000484] (-) JobUnselected: {'identifier': 'pmb2_navigation'}
[0.000495] (-) JobUnselected: {'identifier': 'pmb2_robot'}
[0.000506] (-) JobUnselected: {'identifier': 'tiago_2dnav'}
[0.000517] (-) JobUnselected: {'identifier': 'tiago_bringup'}
[0.000528] (-) JobUnselected: {'identifier': 'tiago_controller_configuration'}
[0.000540] (-) JobUnselected: {'identifier': 'tiago_description'}
[0.000551] (-) JobUnselected: {'identifier': 'tiago_gazebo'}
[0.000562] (-) JobUnselected: {'identifier': 'tiago_harmonic'}
[0.000572] (-) JobUnselected: {'identifier': 'tiago_laser_sensors'}
[0.000583] (-) JobUnselected: {'identifier': 'tiago_moveit_config'}
[0.000593] (-) JobUnselected: {'identifier': 'tiago_navigation'}
[0.000604] (-) JobUnselected: {'identifier': 'tiago_robot'}
[0.000614] (-) JobUnselected: {'identifier': 'tiago_simulation'}
[0.000626] (-) EventReactorShutdown: {}
